		0	  -4.1355437e-02	  -3.9627181e-02	  -3.6388407e-02	  -3.5373044e-02	  -3.7029599e-02	
   1.0000000e-08	  -2.5026706e-02	  -2.7337724e-02	  -2.4614359e-02	  -3.2880786e-02	  -2.3735503e-02	
   1.8000000e-08	  -7.5508064e-03	  -2.0314522e-02	  -1.7826717e-02	  -1.5108127e-02	  -2.3181658e-02	
   3.2000000e-08	  -6.9530502e-03	  -6.7495593e-03	   3.1025271e-03	  -1.2176739e-02	  -1.7144908e-02	
   5.6000000e-08	   7.0625028e-03	   5.7983162e-03	   8.7346367e-03	   1.2794688e-02	   1.0041254e-02	
   1.0000000e-07	   2.1215468e-02	   3.0565888e-02	   2.1875199e-02	   3.7161852e-02	   2.9461340e-02	
   1.6000000e-07	   5.6122720e-02	   6.5493481e-02	   4.5208427e-02	   5.1995878e-02	   5.0724624e-02	
   2.5000000e-07	   1.0149260e-01	   9.9757623e-02	   8.7505462e-02	   1.0099225e-01	   8.8776672e-02	
   4.0000000e-07	   1.6037000e-01	   1.7045443e-01	   1.6638431e-01	   1.7586326e-01	   1.5318336e-01	
   5.0000000e-07	   2.3696579e-01	   2.4091489e-01	   2.2363598e-01	   2.1894867e-01	   2.1771478e-01	
   6.3000000e-07	   3.2680321e-01	   3.0974269e-01	   3.0604026e-01	   3.1458140e-01	   3.0248797e-01	
   7.9000000e-07	   4.2505936e-01	   4.4018875e-01	   4.2505976e-01	   4.1055241e-01	   4.1376438e-01	
   1.0000000e-06	   5.7078276e-01	   5.9239314e-01	   5.7062197e-01	   5.5769898e-01	   5.9166431e-01	
   1.3000000e-06	   7.1176978e-01	   7.1845860e-01	   7.0808098e-01	   7.1797779e-01	   7.6723526e-01	
   2.0000000e-06	   9.1187413e-01	   9.1131608e-01	   9.0931779e-01	   8.8362127e-01	   8.9424784e-01	
   3.2000000e-06	   9.7299087e-01	   9.6906407e-01	   9.6719188e-01	   9.5580988e-01	   9.6391899e-01	
   5.6000000e-06	   9.7303573e-01	   9.7705180e-01	   9.7539464e-01	   9.7169711e-01	   9.8790662e-01	
   1.0000000e-05	   9.6980759e-01	   9.7182632e-01	   9.7910139e-01	   9.8094801e-01	   9.8978496e-01	
   1.8000000e-05	   9.6721110e-01	   9.6967734e-01	   9.6731162e-01	   9.7410529e-01	   9.7433634e-01	
   3.2000000e-05	   1.0228644e+00	   1.0210574e+00	   1.0207954e+00	   1.0162573e+00	   1.0147930e+00	
