	0		5.469372558	5.634004212	5.449474335	0.050213777
	1.00E-09	5.304344082	5.550817203	5.356783581	0.063177162
	3.20E-09	5.287308121	5.495315552	5.331320572	0.075589006
	1.00E-08	5.238510704	5.452889824	5.255140305	0.080434509
	3.20E-08	5.15619545	5.363266182	5.173899078	0.081423365
	6.30E-08	5.105449867	5.257073021	5.045057678	0.093172722
	1.00E-07	4.978993702	5.179982471	4.869946289	0.117717566
	1.60E-07	4.87664547	4.972381782	4.715181255	0.101406268
	2.50E-07	4.746531486	4.831666184	4.525295639	0.135684988
	4.00E-07	4.485750485	4.575635815	4.340087223	0.17288636
	6.30E-07	4.150107574	4.316056347	4.059435272	0.243666503
	1.00E-06	3.832513857	3.990471411	3.825615549	0.27053743
	1.60E-06	3.336850214	3.454290628	3.256317282	0.404417539
	2.50E-06	2.704414129	2.893056059	2.607840729	0.55019114
	4.00E-06	2.2607584	2.410343409	2.212143994	0.818122911
	6.30E-06	2.039506006	2.197679758	2.021739984	1.210775185
	1.00E-05	2.052762461	2.198223305	2.066227007	1.505361652
	1.60E-05	2.166980314	2.30100441	2.246434545	1.999953198
	3.20E-05	2.411462021	2.546372128	2.483970404	2.645099687
	1.00E-04	1.306500912	1.213767409	1.295387721	1.670221925
